272, 345, 1522028980.7908869
272, 345, 1522028980.7908869
273, 345, 1522028980.8064065
274, 345, 1522028980.8064065
275, 345, 1522028980.8255634
276, 345, 1522028980.8285728
278, 345, 1522028980.8285728
279, 345, 1522028980.8442035
279, 345, 1522028980.8442035
280, 345, 1522028980.8598447
281, 344, 1522028980.8598447
282, 343, 1522028980.8754792
282, 343, 1522028980.891082
283, 343, 1522028980.891082
284, 343, 1522028980.891082
285, 342, 1522028980.9273767
286, 341, 1522028980.928882
287, 340, 1522028980.9445357
287, 340, 1522028980.9601364
288, 340, 1522028980.9757636
289, 338, 1522028980.9757636
290, 338, 1522028981.0071476
290, 337, 1522028981.044218
291, 337, 1522028981.0597434
293, 336, 1522028981.0597434
294, 336, 1522028981.0754054
295, 336, 1522028981.091094
296, 336, 1522028981.091094
297, 335, 1522028981.1066167
298, 335, 1522028981.125355
300, 335, 1522028981.1284146
301, 335, 1522028981.1284146
303, 335, 1522028981.1445029
306, 335, 1522028981.1445029
311, 337, 1522028981.1601303
319, 342, 1522028981.1601303
325, 346, 1522028981.1757684
329, 349, 1522028981.1757684
337, 355, 1522028981.1757684
343, 359, 1522028981.1912873
352, 364, 1522028981.1912873
361, 368, 1522028981.2069528
368, 371, 1522028981.2069528
376, 376, 1522028981.2271059
380, 378, 1522028981.2291467
387, 382, 1522028981.2291467
389, 383, 1522028981.2448113
393, 386, 1522028981.2448113
396, 387, 1522028981.260523
398, 389, 1522028981.260523
402, 390, 1522028981.2761571
405, 392, 1522028981.2761571
408, 393, 1522028981.2917695
412, 394, 1522028981.2917695
414, 395, 1522028981.307276
417, 396, 1522028981.307276
418, 397, 1522028981.307276
419, 397, 1522028981.32897
420, 397, 1522028981.32897
421, 397, 1522028981.3448389
422, 397, 1522028981.4455454
422, 397, 1522028981.4610841
423, 397, 1522028981.4610841
424, 397, 1522028981.4767373
424, 397, 1522028981.4767373
426, 397, 1522028981.4923265
427, 397, 1522028981.4923265
429, 397, 1522028981.5079522
430, 397, 1522028981.5079522
431, 397, 1522028981.5261679
431, 398, 1522028981.5296485
433, 398, 1522028981.5296485
435, 398, 1522028981.5611022
436, 398, 1522028981.5767636
437, 399, 1522028981.5767636
438, 399, 1522028981.5923145
438, 399, 1522028981.5923145
439, 399, 1522028981.628729
439, 399, 1522028981.6458678
439, 400, 1522028981.661479
439, 400, 1522028981.6926737
439, 400, 1522028981.708312
436, 400, 1522028981.708312
430, 400, 1522028981.723926
421, 400, 1522028981.7299843
413, 400, 1522028981.7299843
399, 397, 1522028981.7456992
392, 396, 1522028981.7456992
382, 393, 1522028981.7456992
376, 391, 1522028981.761364
372, 390, 1522028981.761364
365, 389, 1522028981.7769566
362, 389, 1522028981.7769566
357, 389, 1522028981.792698
353, 389, 1522028981.792698
350, 389, 1522028981.8082352
349, 389, 1522028981.8082352
349, 389, 1522028981.8269362
348, 389, 1522028981.82995
347, 389, 1522028981.82995
347, 389, 1522028981.8768885
349, 389, 1522028981.8925161
364, 388, 1522028981.9081423
370, 389, 1522028981.9081423
385, 389, 1522028981.9081423
400, 390, 1522028981.9297862
429, 395, 1522028981.9297862
450, 402, 1522028981.9297862
462, 404, 1522028981.9495835
493, 411, 1522028981.9495835
518, 413, 1522028981.9652133
533, 417, 1522028981.9652133
561, 419, 1522028981.9652133
590, 423, 1522028981.9808407
611, 429, 1522028981.9808407
633, 430, 1522028981.9964674
666, 436, 1522028981.9964674
688, 439, 1522028982.012097
716, 449, 1522028982.0297692
738, 452, 1522028982.0297692
753, 456, 1522028982.0455327
776, 459, 1522028982.0455327
785, 463, 1522028982.06116
791, 466, 1522028982.06116
795, 469, 1522028982.0767827
803, 475, 1522028982.092412
808, 479, 1522028982.092412
812, 483, 1522028982.1080399
813, 485, 1522028982.1241722
813, 485, 1522028982.1261811
813, 487, 1522028982.1301908
813, 488, 1522028982.1301908
813, 493, 1522028982.1458185
812, 496, 1522028982.1458185
799, 502, 1522028982.1614861
789, 506, 1522028982.1614861
763, 509, 1522028982.1614861
738, 509, 1522028982.1770737
716, 505, 1522028982.1770737
682, 505, 1522028982.192726
640, 503, 1522028982.192726
598, 499, 1522028982.2083528
542, 492, 1522028982.2083528
500, 486, 1522028982.2275124
446, 486, 1522028982.2300272
412, 478, 1522028982.2300272
381, 476, 1522028982.2456844
345, 472, 1522028982.2456844
322, 467, 1522028982.2634542
303, 464, 1522028982.2713926
286, 461, 1522028982.2786264
276, 460, 1522028982.2857187
267, 456, 1522028982.293727
258, 454, 1522028982.29976
248, 450, 1522028982.3079216
234, 446, 1522028982.3150527
223, 439, 1522028982.3225834
214, 430, 1522028982.3295968
204, 419, 1522028982.3295968
199, 406, 1522028982.3295968
194, 397, 1522028982.3454406
191, 389, 1522028982.3454406
189, 385, 1522028982.3610265
184, 377, 1522028982.3610265
183, 373, 1522028982.3766544
182, 366, 1522028982.3766544
181, 359, 1522028982.392316
180, 355, 1522028982.392316
178, 351, 1522028982.4079444
177, 348, 1522028982.4079444
176, 343, 1522028982.4245882
174, 341, 1522028982.4301023
172, 336, 1522028982.4301023
171, 336, 1522028982.445857
174, 338, 1522028982.9306111
178, 340, 1522028982.9306111
182, 341, 1522028982.9462333
185, 342, 1522028982.9462333
191, 342, 1522028982.9618711
196, 342, 1522028982.9618711
203, 342, 1522028982.9775949
208, 341, 1522028982.9775949
217, 339, 1522028982.9932153
221, 338, 1522028982.9932153
226, 337, 1522028983.0087614
229, 336, 1522028983.0087614
231, 336, 1522028983.0087614
233, 335, 1522028983.0304387
234, 335, 1522028983.0304387
